Route_ID,Route_Name,Action_Taken,New_Route_ID,Old_Wait_Time,New_Wait_Time,Population_Served,Residential_Score,Commercial_Score,Composite_Demand_Score,HV_POI_Count,Time_Saved_Mins,Cumulative_Person_Minutes_Saved_Daily
R0129,AMPHALLA ↔ LALYAL,RETAINED_AS_FEEDER,FDR-269,69,15,58775,3526.85,495.05,4021.9,9,54,3173850
R0386,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-167,27,15,210737,5863.09,340.82,6203.91,13,12,2528844
R0327,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-196,25,15,220640,5386.85,299.08,5685.93,13,10,2206400
R0391,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-123,26,15,197716,6684.34,414.15,7098.49,13,11,2174876
R0744,ROOP NAGAR ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-094,26,15,196788,7363.17,505.13,7868.3,15,11,2164668
R0308,JANIPUR ↔ KULWAL,RETAINED_AS_FEEDER,FDR-188,26,15,194588,5354.65,399.01,5753.66,16,11,2140468
R0587,NEW HIGH COURT JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-262,25,15,206833,4160.63,271.56,4432.19,15,10,2068330
R0100,AMPHALLA ↔ KARWAL,RETAINED_AS_FEEDER,FDR-277,25,15,203147,3587.97,251.68,3839.65,15,10,2031470
R0380,JANIPUR COLONY ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-149,25,15,199049,5957.95,404.08,6362.03,15,10,1990490
R0338,JANIPUR ↔ BARI BRAHMANA IND  COMPLEX,RETAINED_AS_FEEDER,FDR-122,25,15,193686,6698.0,423.63,7121.63,13,10,1936860
R0387,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-066,26,15,172407,7979.96,624.86,8604.82,15,11,1896477
R0583,NEW HIGH COURT JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-169,25,15,188615,5779.71,413.68,6193.39,15,10,1886150
R0390,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-119,25,15,185213,6736.49,491.02,7227.51,15,10,1852130
R0348,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-156,24,15,193458,5907.66,412.25,6319.91,15,9,1741122
R0261,JANIPUR ↔ BARI BRAHMANA IND  COMPLEX,RETAINED_AS_FEEDER,FDR-121,24,15,193164,6735.15,427.13,7162.28,13,9,1738476
R0214,BUS STAND ROOP NAGAR ↔ BARI BRAHMANA IND COMPLEX,RETAINED_AS_FEEDER,FDR-057,24,15,182838,8138.43,600.91,8739.34,15,9,1645542
R0549,NARWAL ↔ SIDHRA,RETAINED_AS_FEEDER,FDR-303,26,15,147322,2732.54,32.46,2765.0,4,11,1620542
R0210,BSF PALOURA ↔ ROOPNAGAR,RETAINED_AS_FEEDER,FDR-052,28,15,124499,8434.89,440.38,8875.27,8,13,1618487
R0431,JDA COMPLEX NEW PLOT ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-217,27,15,133699,5154.16,269.85,5424.01,7,12,1604388
R0392,JANIPUR COLONY ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-060,24,15,172338,8065.24,631.79,8697.03,15,9,1551042
R0395,JANIPUR COLONY ↔ BARI BRAHMANA NO FOUR,RETAINED_AS_FEEDER,FDR-061,24,15,172338,8065.24,631.79,8697.03,15,9,1551042
R0265,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-151,23,15,193005,5936.79,415.26,6352.05,15,8,1544040
R0239,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-150,23,15,193005,5936.79,415.26,6352.05,15,8,1544040
R0695,PANJTIRTHI ↔ FAWARA CHOWK GREATER KAILASH,RETAINED_AS_FEEDER,FDR-089,28,15,114901,7778.82,321.58,8100.4,7,13,1493713
R0611,PALOURA ↔ SUNDWAN,RETAINED_AS_FEEDER,FDR-120,29,15,102315,6987.3,187.8,7175.1,5,14,1432410
R0442,KUJWANI ↔ PHINDER,UPGRADED_TO_TRUNK,TRK-003,36,5,44896,3061.65,0.0,3061.65,0,31,1391776
R0416,JANIPUR HOUSING COLONY ↔ BARI BRAHAMANA 4 NO FACTORY,RETAINED_AS_FEEDER,FDR-059,23,15,168552,8060.83,645.62,8706.45,15,8,1348416
R0249,JANIPUR ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-275,23,15,168452,3694.85,159.02,3853.87,8,8,1347616
R0358,JANIPUR ↔ BARIBRAHMAN,RETAINED_AS_FEEDER,FDR-062,23,15,166528,8042.5,651.98,8694.48,15,8,1332224
R0017,AMPHALA ↔ TRIKUTA NAGAR G  KALISH,UPGRADED_TO_TRUNK,TRK-005,26,5,63218,9603.22,1708.95,11312.17,12,21,1327578
R0316,JANIPUR ↔ LAKKAR MANDI GANDHI NAGAR,RETAINED_AS_FEEDER,FDR-206,24,15,147221,5279.39,304.81,5584.2,10,9,1324989
R0313,JANIPUR ↔ BADHORI,RETAINED_AS_FEEDER,FDR-234,21,15,219792,4751.03,313.43,5064.46,16,6,1318752
R0367,JANIPUR ↔ GHO SANDWAN,RETAINED_AS_FEEDER,FDR-205,27,15,108772,5325.43,293.76,5619.19,6,12,1305264
R0364,JANIPUR ↔ GHO SANDWAN,RETAINED_AS_FEEDER,FDR-204,27,15,108772,5325.43,293.76,5619.19,6,12,1305264
R0296,JANIPUR ↔ GHO SANDWAN,RETAINED_AS_FEEDER,FDR-202,27,15,108772,5325.43,293.76,5619.19,6,12,1305264
R0363,JANIPUR ↔ GHO SANDWAN,RETAINED_AS_FEEDER,FDR-203,27,15,108772,5325.43,293.76,5619.19,6,12,1305264
R0743,ROOP NAGAR ↔ GREATER KAILASH FAWARA CHOWK,RETAINED_AS_FEEDER,FDR-042,23,15,163011,8649.63,543.88,9193.51,11,8,1304088
R0068,AMPHALLA ↔ SUNJWAN,RETAINED_AS_FEEDER,FDR-164,32,15,76378,5949.37,272.63,6222.0,5,17,1298426
