Old_Route_ID,Old_Name,Action_Taken,New_Route_ID,Residential_Score,Commercial_Score,Composite_Demand_Score,Overlap_Metric,Population_Served,Old_Wait_Time,New_Wait_Time,Fleet_Required,Route_KM,HV_POI_Count,Sharp_Turns,Junction_Penalty_Min,OSRM_Duration_S,Cycle_Time_Min,Geo_Source,Fleet_Imputed,Reasoning_String
R0001,AIRPORT RANIBAGH LALYAL ↔ JEWEL AKHNOOR ROAD,RETAINED_AS_FEEDER,FDR-297,2895.8,56.41,2952.21,0.0434,154010,18,15,10,53.184,3,5,2.5,3540.6,141.5,OSRM,True,"Route R0001 (AIRPORT RANIBAGH LALYAL ↔ JEWEL AKHNOOR ROAD) retained as Feeder FDR-297. Distinct catchment of 154,010 residents across 53.2 km (overlap 4.3%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 10 minibuses targets 15-min headway (from 18 min currently). Residential score 2895.8/km | Commercial score 56.4/km."
R0002,AMBHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-108,6862.63,517.09,7379.72,0.1493,119444,5,15,4,17.405,9,8,4.0,964.6,46.2,OSRM,False,"Route R0002 (AMBHALLA ↔ MISHRIWALA) retained as Feeder FDR-108. Distinct catchment of 119,444 residents across 17.4 km (overlap 14.9%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 5 min currently). Residential score 6862.6/km | Commercial score 517.1/km."
R0004,AMBPHALA ↔ BADORI SMAILPUR,RETAINED_AS_FEEDER,FDR-126,6498.96,510.94,7009.9,0.1625,181256,21,15,6,27.89,15,9,4.5,1854.0,81.4,OSRM,True,"Route R0004 (AMBPHALA ↔ BADORI SMAILPUR) retained as Feeder FDR-126. Distinct catchment of 181,256 residents across 27.9 km (overlap 16.2%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 6 minibuses targets 15-min headway (from 21 min currently). Residential score 6499.0/km | Commercial score 510.9/km."
R0007,AMBPHALLA ↔ MUTHI CAMP PHASE II,RETAINED_AS_FEEDER,FDR-016,9345.09,1041.18,10386.27,0.2138,80779,13,15,2,8.644,9,5,2.5,506.0,25.1,OSRM,True,"Route R0007 (AMBPHALLA ↔ MUTHI CAMP PHASE II) retained as Feeder FDR-016. Distinct catchment of 80,779 residents across 8.6 km (overlap 21.4%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 2 minibuses targets 15-min headway (from 13 min currently). Residential score 9345.1/km | Commercial score 1041.2/km."
R0008,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-136,6379.64,347.02,6726.66,0.083,64345,25,15,4,10.086,5,9,4.5,995.3,48.5,OSRM,True,"Route R0008 (AMBPHALLA ↔ BATHINDI) retained as Feeder FDR-136. Distinct catchment of 64,345 residents across 10.1 km (overlap 8.3%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 25 min currently). Residential score 6379.6/km | Commercial score 347.0/km."
R0009,AMBPHALLA ↔ BIRPUR,RETAINED_AS_FEEDER,FDR-129,6137.25,765.49,6902.74,0.0883,102222,18,15,4,16.656,15,6,3.0,1208.7,53.2,OSRM,True,"Route R0009 (AMBPHALLA ↔ BIRPUR) retained as Feeder FDR-129. Distinct catchment of 102,222 residents across 16.7 km (overlap 8.8%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 18 min currently). Residential score 6137.2/km | Commercial score 765.5/km."
R0010,AMBPHALLA ↔ RAYA SUCHAINI,RETAINED_AS_FEEDER,FDR-112,6711.79,660.48,7372.27,0.1506,167674,15,15,4,24.982,18,2,1.0,1488.7,59.4,OSRM,True,"Route R0010 (AMBPHALLA ↔ RAYA SUCHAINI) retained as Feeder FDR-112. Distinct catchment of 167,674 residents across 25.0 km (overlap 15.1%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 15 min currently). Residential score 6711.8/km | Commercial score 660.5/km."
R0011,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-034,8241.68,1277.85,9519.53,0.1685,62884,14,15,2,7.63,12,5,2.5,540.4,26.5,OSRM,True,"Route R0011 (AMBPHALLA ↔ BATHINDI) retained as Feeder FDR-034. Distinct catchment of 62,884 residents across 7.6 km (overlap 16.9%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 2 minibuses targets 15-min headway (from 14 min currently). Residential score 8241.7/km | Commercial score 1277.8/km."
R0013,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-106,6986.6,426.31,7412.91,0.098,57360,5,15,3,8.21,5,12,6.0,724.9,41.6,OSRM,False,"Route R0013 (AMBPHALLA ↔ BATHINDI) retained as Feeder FDR-106. Distinct catchment of 57,360 residents across 8.2 km (overlap 9.8%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 3 minibuses targets 15-min headway (from 5 min currently). Residential score 6986.6/km | Commercial score 426.3/km."
R0014,AMBPHALLA ↔ BADHAI KARWAL,RETAINED_AS_FEEDER,FDR-279,3337.12,441.81,3778.93,0.1329,62314,20,15,4,18.673,9,2,1.0,1440.3,57.5,OSRM,True,"Route R0014 (AMBPHALLA ↔ BADHAI KARWAL) retained as Feeder FDR-279. Distinct catchment of 62,314 residents across 18.7 km (overlap 13.3%). Transfer penalty analysis shows forcing a transfer would worsen passenger experience vs. current direct service. Fleet of 4 minibuses targets 15-min headway (from 20 min currently). Residential score 3337.1/km | Commercial score 441.8/km."
