Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,OSRM_Duration_S,Cycle_Time_Min,Sharp_Turns,Junction_Penalty_Min,Fleet_Required,Total_Minibuses_Existing,Headway_Min,Population_Served,HV_POI_Count,Residential_Score,Commercial_Score,Composite_Demand_Score,Old_Wait_Time,New_Wait_Time,Overlap_Metric,Geo_Source,Fleet_Imputed,View_Map
R0001,AIRPORT RANIBAGH LALYAL ↔ JEWEL AKHNOOR ROAD,RETAINED_AS_FEEDER,FDR-297,53.184,3540.6,141.5,5,2.5,10,8.0,15,154010,3,2895.8,56.41,2952.21,18,15,0.0434,OSRM,True,"<a href=""route_maps/FDR-297.html"">View Map</a>"
R0002,AMBHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-108,17.405,964.6,46.2,8,4.0,4,40.0,15,119444,9,6862.63,517.09,7379.72,5,15,0.1493,OSRM,False,"<a href=""route_maps/FDR-108.html"">View Map</a>"
R0004,AMBPHALA ↔ BADORI SMAILPUR,RETAINED_AS_FEEDER,FDR-126,27.89,1854.0,81.4,9,4.5,6,4.0,15,181256,15,6498.96,510.94,7009.9,21,15,0.1625,OSRM,True,"<a href=""route_maps/FDR-126.html"">View Map</a>"
R0007,AMBPHALLA ↔ MUTHI CAMP PHASE II,RETAINED_AS_FEEDER,FDR-016,8.644,506.0,25.1,5,2.5,2,2.0,15,80779,9,9345.09,1041.18,10386.27,13,15,0.2138,OSRM,True,"<a href=""route_maps/FDR-016.html"">View Map</a>"
R0008,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-136,10.086,995.3,48.5,9,4.5,4,2.0,15,64345,5,6379.64,347.02,6726.66,25,15,0.083,OSRM,True,"<a href=""route_maps/FDR-136.html"">View Map</a>"
R0009,AMBPHALLA ↔ BIRPUR,RETAINED_AS_FEEDER,FDR-129,16.656,1208.7,53.2,6,3.0,4,3.0,15,102222,15,6137.25,765.49,6902.74,18,15,0.0883,OSRM,True,"<a href=""route_maps/FDR-129.html"">View Map</a>"
R0010,AMBPHALLA ↔ RAYA SUCHAINI,RETAINED_AS_FEEDER,FDR-112,24.982,1488.7,59.4,2,1.0,4,4.0,15,167674,18,6711.79,660.48,7372.27,15,15,0.1506,OSRM,True,"<a href=""route_maps/FDR-112.html"">View Map</a>"
R0011,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-034,7.63,540.4,26.5,5,2.5,2,2.0,15,62884,12,8241.68,1277.85,9519.53,14,15,0.1685,OSRM,True,"<a href=""route_maps/FDR-034.html"">View Map</a>"
R0013,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-106,8.21,724.9,41.6,12,6.0,3,25.0,15,57360,5,6986.6,426.31,7412.91,5,15,0.098,OSRM,False,"<a href=""route_maps/FDR-106.html"">View Map</a>"
R0014,AMBPHALLA ↔ BADHAI KARWAL,RETAINED_AS_FEEDER,FDR-279,18.673,1440.3,57.5,2,1.0,4,3.0,15,62314,9,3337.12,441.81,3778.93,20,15,0.1329,OSRM,True,"<a href=""route_maps/FDR-279.html"">View Map</a>"
R0015,AMBPHALLA ↔ PATTI,RETAINED_AS_FEEDER,FDR-259,29.331,1483.0,61.4,4,2.0,5,5.0,15,117607,15,4009.65,460.26,4469.91,13,15,0.1034,OSRM,False,"<a href=""route_maps/FDR-259.html"">View Map</a>"
R0017,AMPHALA ↔ TRIKUTA NAGAR G  KALISH,UPGRADED_TO_TRUNK,TRK-005,6.583,454.6,25.5,7,3.5,6,1.0,5,63218,12,9603.22,1708.95,11312.17,26,5,0.2502,OSRM,True,"<a href=""route_maps/TRK-005.html"">View Map</a>"
R0019,AMPHALLA ↔ BADHORI,RETAINED_AS_FEEDER,FDR-211,37.142,2189.3,87.4,3,1.5,6,25.0,15,191294,17,5150.34,417.32,5567.66,5,15,0.1043,OSRM,False,"<a href=""route_maps/FDR-211.html"">View Map</a>"
R0022,AMPHALLA ↔ KHIYARIAN CAMP,RETAINED_AS_FEEDER,FDR-058,9.65,788.5,33.7,3,1.5,3,2.0,15,76023,8,7878.03,829.02,8707.05,17,15,0.1134,OSRM,True,"<a href=""route_maps/FDR-058.html"">View Map</a>"
R0023,AMPHALLA ↔ SARORE,RETAINED_AS_FEEDER,FDR-084,20.409,1402.0,60.6,6,3.0,5,3.0,15,151896,17,7442.6,759.47,8202.07,21,15,0.1761,OSRM,True,"<a href=""route_maps/FDR-084.html"">View Map</a>"
R0024,AMPHALLA ↔ MANDIA MANKA KHOUR,RETAINED_AS_FEEDER,FDR-260,23.074,1826.6,81.5,10,5.0,6,10.0,15,92126,11,3992.63,444.22,4436.85,9,15,0.1342,OSRM,False,"<a href=""route_maps/FDR-260.html"">View Map</a>"
R0025,AMPHALLA ↔ KHERIAN,RETAINED_AS_FEEDER,FDR-070,20.677,1254.5,52.7,4,2.0,4,3.0,15,158858,18,7682.84,797.99,8480.83,18,15,0.1748,OSRM,True,"<a href=""route_maps/FDR-070.html"">View Map</a>"
R0027,AMPHALLA ↔ MUTHI CAMP PHASE 2ND,RETAINED_AS_FEEDER,FDR-017,8.644,506.0,25.1,5,2.5,2,2.0,15,80779,9,9345.09,1041.18,10386.27,13,15,0.2138,OSRM,True,"<a href=""route_maps/FDR-017.html"">View Map</a>"
R0028,AMPHALLA ↔ KHERI REHAL,RETAINED_AS_FEEDER,FDR-242,25.812,2001.3,85.9,8,4.0,6,18.0,15,112695,14,4365.99,484.27,4850.26,5,15,0.1081,OSRM,False,"<a href=""route_maps/FDR-242.html"">View Map</a>"
R0029,AMPHALLA ↔ KATTAL BATAL,MERGED_INTO_TRUNK,TRK-002,14.938,1197.4,52.8,6,3.0,11,5.0,5,34791,3,2329.03,150.62,2479.65,11,5,0.0341,OSRM,False,"<a href=""route_maps/TRK-002.html"">View Map</a>"
R0030,AMPHALLA ↔ KHERI REHAL,RETAINED_AS_FEEDER,FDR-243,25.812,2001.3,85.9,8,4.0,6,4.0,15,112695,14,4365.99,484.27,4850.26,22,15,0.1081,OSRM,True,"<a href=""route_maps/FDR-243.html"">View Map</a>"
R0031,AMPHALLA ↔ GANGYAL,RETAINED_AS_FEEDER,FDR-254,20.506,1661.5,79.8,14,7.0,6,14.0,15,89565,5,4367.75,207.26,4575.01,6,15,0.1079,OSRM,False,"<a href=""route_maps/FDR-254.html"">View Map</a>"
R0035,AMPHALLA ↔ TALAB TILLO BOHRI,RETAINED_AS_FEEDER,FDR-014,6.143,412.2,17.0,1,0.5,2,1.0,15,57801,8,9409.25,1302.3,10711.55,17,15,0.1762,OSRM,True,"<a href=""route_maps/FDR-014.html"">View Map</a>"
R0037,AMPHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-109,17.405,964.6,46.2,8,4.0,4,3.0,15,119444,9,6862.63,517.09,7379.72,16,15,0.1493,OSRM,True,"<a href=""route_maps/FDR-109.html"">View Map</a>"
R0038,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-159,30.604,2511.5,113.5,15,7.5,8,70.0,15,176560,17,5769.18,506.47,6275.65,5,15,0.1465,OSRM,False,"<a href=""route_maps/FDR-159.html"">View Map</a>"
R0042,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-248,28.125,1638.2,73.1,9,4.5,5,8.0,15,117289,15,4170.28,480.0,4650.28,10,15,0.1496,OSRM,False,"<a href=""route_maps/FDR-248.html"">View Map</a>"
R0048,AMPHALLA ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,FDR-218,21.514,1604.5,76.5,13,6.5,6,3.0,15,104656,12,4864.55,522.92,5387.47,26,15,0.1415,OSRM,True,"<a href=""route_maps/FDR-218.html"">View Map</a>"
R0049,AMPHALLA ↔ SAMILPUR,RETAINED_AS_FEEDER,FDR-067,19.986,1215.6,51.2,4,2.0,4,3.0,15,155906,17,7800.76,775.54,8576.3,18,15,0.1896,OSRM,True,"<a href=""route_maps/FDR-067.html"">View Map</a>"
R0050,AMPHALLA ↔ BARUIE KARWAL,RETAINED_AS_FEEDER,FDR-281,18.91,1503.1,62.2,4,2.0,5,3.0,15,62659,9,3313.54,436.28,3749.82,21,15,0.1245,OSRM,True,"<a href=""route_maps/FDR-281.html"">View Map</a>"
R0053,AMPHALLA ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-012,8.276,664.3,39.3,12,6.0,3,2.0,15,76855,15,9286.49,1540.6,10827.09,20,15,0.2243,OSRM,True,"<a href=""route_maps/FDR-012.html"">View Map</a>"
R0054,AMPHALLA ↔ GANGYAL,RETAINED_AS_FEEDER,FDR-238,19.585,1429.3,66.3,10,5.0,5,3.0,15,87531,10,4469.29,472.3,4941.59,23,15,0.1723,OSRM,True,"<a href=""route_maps/FDR-238.html"">View Map</a>"
